Row,CPUUtilization_Average,NetworkIn_Average,NetworkOut_Average,MemoryUtilization_Average,Final_Target
14321,42,317432378,296136720,32.46479805,35.81727079
14322,36,203124951,193398880,26.64990595,29.80463379
14323,37,260432871,247336262,51.55064084,42.51874455
14324,36,124219991,117474914,31.21882801,32.38763714
14325,43,160410557,160248813,33.8988245,36.61591101
14326,38,285517907,275045421,32.79229454,33.83915351
14327,23,199476769,190436856,33.39107098,27.16616379
14328,22,141757462,130154993,27.16848105,23.58893787
14329,42,239769195,223316096,52.42251875,45.17331342
14330,31,116796819,107531019,40.05230067,33.91707212
14331,19,81253084,71566914,48.51998956,32.34070478
14332,25,153602736,139253359,41.57181666,32.05868642
14333,35,83356441,87587355,52.63871566,42.01527535
14334,36,155509881,141692805,54.96342686,43.36277476
14335,36,242139513,226708866,40.11838066,36.43990726
14336,43,272590178,247774886,44.38510384,42.00055162
14337,42,250168647,231565327,31.2340627,35.190862
14338,40,229046025,210327556,52.47506249,44.07258458
14339,10,65774022,58240985,40.57671914,24.14607069
14340,14,162264567,157029107,20.37718684,16.78960906
14341,36,230155608,205256825,32.99176698,33.14856532
14342,34,220394237,215500994,27.02378431,29.11446349
14343,35,192404498,177746707,50.02739403,40.82966732
14344,44,164108759,157431653,46.337798,43.21210276
14345,44,209395167,206548104,44.34347801,42.25135019
14346,34,177420554,167837480,31.54893878,31.58642714
14347,35,155284422,140857677,42.570842,37.06427735
14348,43,239427517,211889313,41.4786235,40.41317134
14349,33,174222690,165722734,35.67221329,33.12075779
14350,24,161421559,162312221,19.98880199,21.2800494
14351,34,177649291,173772252,47.06743038,38.87600944
14352,45,217282631,206666370,58.47157048,49.25802863
14353,37,277804811,271861669,34.44818902,34.44093471
14354,32,173000308,162641728,41.7490177,35.09763205
14355,35,140825096,130607244,27.10679252,29.69409039
14356,37,197162909,180980218,39.81152318,36.67849212
14357,36,202851238,181176807,28.1099212,30.74434587
14358,42,150834414,141480374,54.2117014,45.92644337
14359,21,75603385,82679923,19.22510036,19.12985473
14360,24,99426877,106024960,46.28276735,33.86331
14361,33,179383562,164138694,28.02129041,29.43420714
14362,44,356127674,333460387,28.36463645,34.72578948
14363,43,214829742,194511130,59.06596361,49.01882409
14364,40,243569900,235508491,37.27874499,37.1069111
14365,28,179628686,164961150,50.71971863,37.61715339
14366,40,167937693,159975465,59.01667409,47.46564194
14367,27,226569784,210502571,45.4517921,34.88181826
14368,39,283315561,266847904,25.77346336,31.25431882
14369,21,137001355,129596156,34.7413589,26.69333289
14370,44,233129701,206700618,33.73999932,37.07823256
14371,35,213031622,202243473,30.69844641,31.34375341
14372,39,227835294,190626640,45.60527634,40.67092137
14373,42,77722396,69351022,73.2394629,55.09661812
14374,38,220763473,193223012,39.14931269,36.9724154
14375,26,183675254,165025674,53.41753424,37.87861192
14376,42,126992318,114070090,50.85696109,44.36098605
14377,43,279227847,248678474,49.62757461,44.10033891
14378,42,254141949,244011782,34.70741767,36.65667945
14379,20,88229385,75722291,26.77668539,22.27918421
14380,35,187343382,154764771,49.73577449,40.62515931
14381,33,65187221,53390918,53.46224411,41.27096187
14382,44,331841937,322595470,39.33792684,39.66747591
14383,39,117866734,100083832,47.83626833,41.45664576
14384,34,249136692,234655121,20.4640822,26.03959413
14385,11,88524369,91380184,9.705053203,10.1439073
14386,42,226124534,210326392,35.68722262,37.2193206
14387,41,215537303,189710909,38.67920365,38.16159046
14388,28,128690509,115565313,28.6337552,26.977543
14389,42,184318226,168406660,51.03821244,44.256833
14390,37,159504672,151840117,40.51846306,36.86685767
14391,13,80277057,68667385,21.5815884,16.60952035
14392,35,249782757,240846342,25.44850652,28.96890849
14393,35,145246764,124709472,22.24451103,27.55710225
14394,35,206881593,200325722,40.00529663,35.98763831
14395,36,289237199,276688530,34.33339968,33.83511782
14396,34,191056418,174520553,21.61261733,26.88884368
14397,18,63975966,57949007,48.84747909,32.12896305
14398,27,229003765,210755757,26.58414105,25.7141073
14399,39,163360521,155247030,43.50223189,39.4040922
14400,35,261579338,254799408,40.76295807,36.47005765
14401,38,256737914,247548120,29.56376676,32.28050338
14402,39,232369233,214548362,38.23462372,37.06350944
14403,35,119245757,110955603,50.61455534,40.92823841
14404,42,213420079,204609532,49.31045185,43.73054708
14405,24,122689240,128009981,8.122301141,15.33741299
14406,36,193030802,177170415,34.79706801,33.98369035
14407,33,153646689,145161650,40.31621609,34.89522186
14408,45,248003818,239611662,38.28307931,39.6706233
14409,37,190691725,175117656,52.75184278,43.10950328
14410,39,171181535,160738652,29.72591502,32.6928227
14411,34,184084771,173275902,39.69387608,35.1424204
14412,34,232249680,223200926,45.25699724,38.03842662
14413,40,114634614,104007193,62.78405801,49.06477177
14414,38,228672220,215483013,43.03459656,38.90950603
14415,37,154978267,142959117,41.66156999,37.529518
14416,4,82093562,75140537,2.310480783,3.299788321
14417,42,213463862,208427214,38.34240345,38.34799438
14418,34,193891889,171809859,45.36684297,38.0202165
14419,20,136862614,134814571,21.71111354,20.24390708
14420,40,106969617,96276386,42.62246674,39.64867715
